Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
United Kingdom	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"10,671.70"	"10,357.58"	"9,848.57"	"9,381.76"	"8,872.74"	"9,446.62"	"11,491.77"	"14,213.45"	"17,267.43"	"17,508.92"	"20,668.04"	"21,502.56"	"22,119.10"	"19,738.70"	"21,098.89"	"22,759.46"	"23,974.94"	"26,366.88"	"27,769.02"	"28,159.95"	"27,828.38"	"27,296.67"	"29,654.24"	"34,049.76"	"39,871.03"	"41,566.63"	"44,095.77"	"49,973.92"	"46,890.22"	"38,180.57"	"38,737.56"	"41,259.50"	"41,683.67"	"42,452.95"	"46,478.84"	"43,902.35"	2015
United States	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"12,575.57"	"13,965.77"	"14,410.16"	"15,531.18"	"17,099.35"	"18,231.83"	"19,078.41"	"20,062.66"	"21,442.13"	"22,879.18"	"23,913.76"	"24,365.62"	"25,466.83"	"26,441.65"	"27,755.76"	"28,762.68"	"30,047.31"	"31,553.62"	"32,929.04"	"34,601.72"	"36,432.51"	"37,241.35"	"38,113.89"	"39,591.87"	"41,838.46"	"44,218.31"	"46,351.67"	"47,954.53"	"48,302.28"	"46,909.42"	"48,309.53"	"49,725.50"	"51,385.49"	"52,704.85"	"54,501.59"	"56,083.97"	2015
Uruguay	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"3,845.69"	"4,262.87"	"3,462.52"	"1,888.50"	"1,784.39"	"1,732.56"	"2,138.91"	"2,661.12"	"2,736.98"	"2,868.56"	"3,319.18"	"3,976.87"	"4,542.97"	"5,260.67"	"6,070.22"	"6,661.87"	"7,038.55"	"7,362.67"	"7,756.84"	"7,295.82"	"6,917.14"	"6,319.55"	"4,120.39"	"3,652.77"	"4,151.89"	"5,263.10"	"5,919.56"	"7,058.13"	"9,107.89"	"9,465.36"	"12,001.66"	"14,238.08"	"15,164.92"	"16,958.84"	"16,813.35"	"15,547.12"	2014
Uzbekistan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	167.182	251.774	292.666	448.126	601.909	616.106	616.901	693.22	550.72	461.374	378.367	392.554	461.222	543.851	638.558	823.976	"1,038.94"	"1,195.02"	"1,367.13"	"1,560.74"	"1,720.76"	"1,890.47"	"2,064.41"	"2,114.97"	2013
Vanuatu	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,053.85"	956.137	930.89	931.689	"1,111.40"	976.747	918.675	989.126	"1,092.05"	"1,054.90"	"1,141.04"	"1,333.39"	"1,357.70"	"1,277.01"	"1,422.85"	"1,479.57"	"1,511.71"	"1,537.62"	"1,441.11"	"1,435.66"	"1,424.57"	"1,320.60"	"1,314.46"	"1,538.10"	"1,745.05"	"1,845.78"	"2,007.23"	"2,350.98"	"2,654.00"	"2,606.79"	"2,923.25"	"3,230.04"	"3,115.77"	"3,123.98"	"3,103.90"	"2,747.30"	2014
Venezuela	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,671.08"	"5,085.58"	"5,041.59"	"4,883.23"	"3,447.45"	"3,472.19"	"3,488.56"	"2,619.24"	"3,292.79"	"2,378.16"	"2,492.94"	"2,685.29"	"2,968.50"	"2,876.08"	"2,741.98"	"3,559.77"	"3,174.63"	"3,777.79"	"3,973.42"	"4,121.58"	"4,823.96"	"4,965.41"	"3,790.66"	"3,265.55"	"4,309.50"	"5,418.44"	"6,609.95"	"8,133.31"	"10,464.26"	"8,442.84"	"10,316.83"	"11,541.88"	"11,287.30"	"7,655.11"	"7,127.51"	"8,493.97"	2010
Vietnam	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	513.965	250.859	326.329	482.44	822.549	251.202	556.019	674.88	365.892	97.158	98.032	113.654	144.149	189.261	230.314	288.874	337.524	361.908	360.925	374.722	401.567	413.342	440.209	489.034	603.668	699.682	796.928	920.463	"1,154.49"	"1,181.45"	"1,297.23"	"1,532.31"	"1,752.62"	"1,901.70"	"2,048.95"	"2,088.34"	2014
Yemen	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"1,046.18"	"1,158.44"	"1,351.44"	"1,558.43"	"1,919.18"	840.832	411.266	418.526	374.911	439.292	539.641	532.421	560.031	597.771	682.148	797.704	881.648	971.326	"1,171.17"	"1,060.93"	"1,266.79"	"1,302.30"	"1,367.72"	"1,515.95"	"1,574.25"	"1,334.12"	2008
Zambia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	718.795	718.743	672.013	562.441	448.532	412.851	276.151	332.268	543.316	561.832	509.752	446.778	424.949	405.587	405.544	410.542	378.71	440.701	352.627	330.283	340.164	376.986	376.468	429.01	530.54	691.785	"1,030.28"	"1,103.45"	"1,365.69"	"1,134.76"	"1,456.16"	"1,635.50"	"1,724.71"	"1,839.54"	"1,726.01"	"1,351.63"	2010
Zimbabwe	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	897.213	810.42	648.024	608.025	618.059	620.707	735.645	762.778	899.325	876.461	846.321	835.364	799.04	704.129	693.49	655.344	597.869	576.931	490.803	666.973	765.418	879.363	954.918	"1,004.51"	"1,030.42"	"1,002.46"	2012
